Machine_Family,Machine_Instance,Machine_Family_Name,Certification
ETS-2-64,CLFTEA35,ETS-2-64,1
ETS-2-64,CLFTEA50,ETS-2-64,1
ETS-2-64,CLFTEA63,ETS-2-64,1
ETS-2-64,CLFTEA85,ETS-2-64,1
ETM-5-128,CLFTEA90,ETM-5-128,1
ETS-2-64,CLFTEA72,ETS-2-64,1
ETS-2-64,CLFTEA88,ETS-2-64,1
ETS-2-64,CLFTEA14,ETS-2-64,1
ETS-2-128,CLFTEA7,ETS-2-128,1
ETS-2-64,CLFTEA59,ETS-2-64,1
ETS-2-128,CLFTEA37,ETS-2-128,1
ETS-2-64,CLFTEA78,ETS-2-64,1
ETS-2M-64,CLFTEA44,ETS-2M-64,2
ETS-2-64,CLFTEA62,ETS-2-64,1
ETS-2-64,CLFTEA39,ETS-2-64,1
ETS-2-64,CLFTEA30,ETS-2-64,1
ETS-2M-64,CLFTEA31,ETS-2M-64,1
ETS-2-64,CLFTEA69,ETS-2-64,1
ETS-2-64,CLFTEA80,ETS-2-64,1
ETS-2-64,CLFTEA33,ETS-2-64,1
ETS-2-64,CLFTEA18,ETS-2-64,1
ETM-5-128,CLFTEA92,ETM-5-128,1
ETS-2-64,CLFTEA19,ETS-2-64,1
ETS-2Q-64,CLFTEA56,ETS-2Q-64,1
ETM-5-128,CLFTEA54,ETM-5-128,1
ETS-2-64,CLFTEA42,ETS-2-64,1
ETS-0-64,CLFTEA17,ETS-0-64,1
ETM-5-128,CLFTEA53,ETM-5-128,1
ETS-2-128,CLFTEA32,ETS-2-128,1
ETS-2-64,CLFTEA34,ETS-2-64,1
ETM-5-128,CLFTEA52,ETM-5-128,1
ETS-2-64,CLFTEA68,ETS-2-64,1
ETS-2-64,CLFTEA25,ETS-2-64,1
ETS-2-64,CLFTEA38,ETS-2-64,1
ETS-2-64,CLFTEA75,ETS-2-64,1
ETS-2-64,CLFTEA66,ETS-2-64,1
ETS-2-64,CLFTEA76,ETS-2-64,1
ETS-1-64,CLFTEA71,ETS-1-64,1
ETS-2-64,CLFTEA64,ETS-2-64,1
ETS-2-64,CLFTEA36,ETS-2-64,1
ETS-2-64,CLFTEA12,ETS-2-64,1
ETS-2-64,CLFTEA41,ETS-2-64,1
ETS-2-64,CLFTEA26,ETS-2-64,2
ETS-2M-64,CLFTEA79,ETS-2M-64,1
ETS-2-64,CLFTEA15,ETS-2-64,1
ETS-2-64,CLFTEA29,ETS-2-64,1
ETM-5-128,CLFTEA89,ETM-5-128,1
ETS-0-64,CLFTEA22,ETS-0-64,1
ETS-2-64,CLFTEA49,ETS-2-64,1
ETS-1M-64,CLFTEA13,ETS-1M-64,1
ETS-2-64,CLFTEA43,ETS-2-64,1
ETS-2-128,CLFTEA58,ETS-2-128,1
ETS-2-64,CLFTEA47,ETS-2-64,1
ETS-2-64,CLFTEA48,ETS-2-64,1
ETS-2-64,CLFTEA84,ETS-2-64,1
ETS-2-64,CLFTEA45,ETS-2-64,1
ETS-2M-64,CLFTEA51,ETS-2M-64,1
ETS-2-64,CLFTEA27,ETS-2-64,1
ETS-2-64,CLFTEA65,ETS-2-64,1
ETS-0-64,CLFTEA9,ETS-0-64,1
ETS-2-64,CLFTEA77,ETS-2-64,1
ETS-2M-64,CLFTEA20,ETS-2M-64,1
ETS-2-64,CLFTEA74,ETS-2-64,1
ETM-4-64,CLFTEA87,ETM-4-64,1
ETS-2-64,CLFTEA60,ETS-2-64,1
ETS-2-64,CLFTEA83,ETS-2-64,1
ETS-2-64,CLFTEA61,ETS-2-64,1
ETS-2-64,CLFTEA86,ETS-2-64,1
ETS-2-64,CLFTEA67,ETS-2-64,1
ETS-2-64,CLFTEA70,ETS-2-64,1
ETS-2-64,CLFTEA73,ETS-2-64,1
ETS-2-64,CLFTEA23,ETS-2-64,1
ETS-2-64,CLFTEA81,ETS-2-64,1
ETS-0-64,CLFTEA3,ETS-0-64,1
ETM-4-64,CLFTEA46,ETM-4-64,1
ETS-1-64,CLFTEA10,ETS-1-64,1
ETS-2-64,CLFTEA57,ETS-2-64,1
ETM-2-64,CLFTEA24,ETM-2-64,1
ETM-2-64,CLFTEA6,ETM-2-64,1
ETS-2-64,CLFTEA11,ETS-2-64,1
ETS-S-64,CLFTEA91,ETS-S-64,1
ETM-2-64,CLFTEA97,ETM-2-64,1
ETS-2-64,CLFTEA99,ETS-2-64,1
